NAME,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MPG,PER,TEAM,SALARY,YEAR,POS,Segment
Trey Murphy III,21,42,0.0,521,50,149,0.336,36.0,107.0,0.336,24,28,0.857,28.0,61.0,89.0,20,12.0,6.0,12.0,39,160,12.4,8.67,New Orleans Pelicans,3053760,2022, SG,Underperforming
Dejounte Murray,25,53,53.0,1833,440,952,0.462,68.0,213.0,0.319,119,155,0.768,69.0,376.0,445.0,500,106.0,17.0,131.0,108,1067,34.58,23.26,San Antonio Spurs,15428880,2022, PG,Best
Mike Muscala,30,43,0.0,593,113,248,0.456,70.0,163.0,0.429,48,57,0.842,21.0,108.0,129.0,22,18.0,26.0,14.0,58,344,13.79,20.63,Oklahoma City Thunder,3365385,2022, C,Average
Svi Mykhailiuk,24,45,5.0,660,84,210,0.4,36.0,118.0,0.305,27,32,0.844,20.0,71.0,91.0,40,24.0,4.0,28.0,48,231,14.67,9.56,Toronto Raptors,1729217,2022, SG,Underperforming
Larry Nance Jr.,29,37,11.0,859,102,198,0.515,19.0,62.0,0.306,32,49,0.653,58.0,151.0,209.0,73,38.0,13.0,27.0,67,255,23.22,13.47,Portland Trail Blazers,10690909,2022, PF,Worst
Raul Neto,29,51,7.0,1057,159,350,0.454,26.0,98.0,0.265,62,83,0.747,11.0,90.0,101.0,151,42.0,1.0,62.0,82,406,20.73,12.15,Washington Wizards,1669178,2022, PG,Worst
Georges Niang,28,55,6.0,1278,181,420,0.431,107.0,270.0,0.396,44,51,0.863,21.0,126.0,147.0,83,21.0,10.0,46.0,144,513,23.24,10.59,Philadelphia 76ers,3300000,2022, SF,Worst
Zeke Nnaji,21,39,1.0,651,95,176,0.54,37.0,76.0,0.487,38,62,0.613,55.0,89.0,144.0,15,12.0,13.0,21.0,76,265,16.69,14.24,Denver Nuggets,2498760,2022, PF,Underperforming
Nerlens Noel,27,25,11.0,562,32,60,0.533,0.0,3.0,0.0,21,30,0.7,48.0,93.0,141.0,23,30.0,31.0,20.0,67,85,22.48,11.77,New York Knicks,8000000,2022, C,Worst
Jaylen Nowell,22,43,1.0,629,126,271,0.465,37.0,100.0,0.37,41,55,0.745,15.0,68.0,83.0,88,23.0,6.0,22.0,49,330,14.63,18.02,Minnesota Timberwolves,1782621,2022, SG,Average
Frank Ntilikina,23,47,5.0,589,72,190,0.379,34.0,100.0,0.34,23,24,0.958,7.0,56.0,63.0,54,24.0,6.0,26.0,51,201,12.53,9.3,Dallas Mavericks,1669178,2022, PG,Underperforming
Jusuf Nurkic,27,56,56.0,1578,321,600,0.535,15.0,56.0,0.268,185,268,0.69,167.0,452.0,619.0,157,62.0,34.0,143.0,189,842,28.18,19.26,Portland Trail Blazers,12000000,2022, C,Overperforming
David Nwaba,29,38,4.0,525,71,152,0.467,10.0,39.0,0.256,41,57,0.719,36.0,104.0,140.0,30,24.0,18.0,18.0,48,193,13.82,14.96,Houston Rockets,4650000,2022, SF,Worst
Jordan Nwora,23,47,10.0,912,148,362,0.409,67.0,183.0,0.366,18,23,0.783,31.0,140.0,171.0,46,23.0,13.0,44.0,57,381,19.4,11.35,Milwaukee Bucks,1517981,2022, SF,Underperforming
Royce O'Neale,28,55,55.0,1727,150,305,0.492,83.0,205.0,0.405,37,46,0.804,43.0,228.0,271.0,137,72.0,26.0,53.0,131,420,31.4,11.54,Utah Jazz,8800000,2022, PF,Average
Chuma Okeke,23,50,10.0,1202,156,399,0.391,77.0,241.0,0.32,39,46,0.848,34.0,203.0,237.0,80,74.0,29.0,39.0,66,428,24.04,13.35,Orlando Magic,3277080,2022, PF,Underperforming
Onyeka Okongwu,21,28,6.0,604,101,137,0.737,0.0,0.0,0.0,48,66,0.727,62.0,92.0,154.0,34,19.0,40.0,32.0,89,250,21.57,19.54,Atlanta Hawks,6104280,2022, PF,Average
Isaac Okoro,21,45,39.0,1305,143,306,0.467,38.0,117.0,0.325,78,102,0.765,48.0,95.0,143.0,83,37.0,14.0,45.0,118,402,29.0,10.16,Cleveland Cavaliers,6720720,2022, SF,Underperforming
Cedi Osman,26,48,3.0,1106,184,437,0.421,97.0,270.0,0.359,61,95,0.642,19.0,92.0,111.0,97,41.0,8.0,47.0,90,526,23.04,13.28,Cleveland Cavaliers,8133334,2022, SF,Underperforming
Kelly Oubre Jr.,26,55,13.0,1570,326,745,0.438,151.0,440.0,0.343,96,141,0.681,65.0,162.0,227.0,62,65.0,23.0,57.0,144,899,28.55,16.8,Charlotte Hornets,12000000,2022, SG,Overperforming
Eric Paschall,25,45,1.0,591,87,179,0.486,34.0,90.0,0.378,50,66,0.758,25.0,66.0,91.0,28,7.0,4.0,25.0,43,258,13.13,14.07,Utah Jazz,1782621,2022, PF,Underperforming
Chris Paul,36,58,58.0,1916,325,667,0.487,60.0,182.0,0.33,156,185,0.843,16.0,243.0,259.0,619,108.0,18.0,138.0,118,866,33.03,20.73,Phoenix Suns,30000000,2022, PG,Average
