SEASON,TEAM,MONTH,ELO,GP,MIN,PTS,W,L,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
2010-11,Atlanta Hawks,February,1478.812158325974,75.0,3610.0,7143.0,43.0,32.0,2724.0,5883.0,475.0,1341.0,1220.0,1567.0,697.0,2277.0,2974.0,1675.0,1022.0,458.0,317.0,1416.0
2010-11,Atlanta Hawks,January,1459.6697763278269,60.0,2890.0,5774.0,36.0,24.0,2186.0,4742.0,386.0,1109.0,1016.0,1292.0,578.0,1845.0,2423.0,1345.0,823.0,364.0,251.0,1154.0
2010-11,Atlanta Hawks,March,1432.1135578237765,82.0,3946.0,7790.0,44.0,38.0,2971.0,6429.0,502.0,1427.0,1346.0,1728.0,762.0,2460.0,3222.0,1802.0,1118.0,497.0,341.0,1554.0
2010-11,Atlanta Hawks,November,1422.4149840407033,35.0,1685.0,3379.0,21.0,14.0,1284.0,2739.0,212.0,591.0,599.0,778.0,331.0,1085.0,1416.0,817.0,483.0,210.0,155.0,674.0
2011-12,Atlanta Hawks,April,1424.6781707595344,4.0,192.0,396.0,3.0,1.0,142.0,318.0,29.0,77.0,83.0,110.0,49.0,125.0,174.0,82.0,52.0,28.0,21.0,73.0
2011-12,Atlanta Hawks,December,1445.1856669766908,22.0,1081.0,2147.0,16.0,6.0,813.0,1783.0,155.0,384.0,366.0,500.0,224.0,707.0,931.0,492.0,309.0,181.0,112.0,390.0
2011-12,Atlanta Hawks,February,1466.226836251953,54.0,2652.0,5108.0,31.0,23.0,1950.0,4384.0,391.0,1059.0,817.0,1118.0,549.0,1680.0,2229.0,1174.0,759.0,432.0,253.0,980.0
2011-12,Atlanta Hawks,January,1432.970815233604,35.0,1710.0,3256.0,20.0,15.0,1240.0,2832.0,249.0,667.0,527.0,736.0,361.0,1099.0,1460.0,758.0,487.0,285.0,179.0,609.0
2011-12,Atlanta Hawks,March,1469.4951013981226,66.0,3233.0,6375.0,40.0,26.0,2429.0,5348.0,492.0,1330.0,1025.0,1385.0,652.0,2066.0,2718.0,1481.0,921.0,536.0,303.0,1178.0
2012-13,Atlanta Hawks,April,1486.347830849555,14.0,677.0,1347.0,9.0,5.0,522.0,1143.0,118.0,316.0,185.0,269.0,135.0,416.0,551.0,328.0,211.0,128.0,75.0,258.0
2012-13,Atlanta Hawks,December,1412.8424446465835,45.0,2190.0,4350.0,26.0,19.0,1675.0,3642.0,400.0,1048.0,600.0,859.0,435.0,1383.0,1818.0,1065.0,681.0,374.0,221.0,818.0
2012-13,Atlanta Hawks,February,1416.824166089188,74.0,3587.0,7240.0,41.0,33.0,2782.0,5987.0,653.0,1725.0,1023.0,1438.0,680.0,2335.0,3015.0,1817.0,1114.0,597.0,348.0,1340.0
2012-13,Atlanta Hawks,January,1459.1237781107538,56.0,2718.0,5476.0,33.0,23.0,2098.0,4531.0,508.0,1327.0,772.0,1093.0,529.0,1757.0,2286.0,1366.0,833.0,448.0,271.0,1023.0
2012-13,Atlanta Hawks,March,1374.4832278088588,82.0,3971.0,8032.0,44.0,38.0,3084.0,6644.0,706.0,1901.0,1158.0,1619.0,758.0,2593.0,3351.0,2007.0,1219.0,664.0,369.0,1473.0
2012-13,Atlanta Hawks,November,1444.8970936773162,29.0,1412.0,2841.0,19.0,10.0,1090.0,2388.0,257.0,678.0,404.0,568.0,294.0,893.0,1187.0,673.0,426.0,259.0,144.0,503.0
2013-14,Atlanta Hawks,October,1348.2202523549547,18.0,864.0,1776.0,9.0,9.0,662.0,1445.0,138.0,390.0,314.0,421.0,145.0,576.0,721.0,432.0,273.0,155.0,86.0,332.0
2013-14,Atlanta Hawks,April,1372.1557924874946,1.0,48.0,109.0,0.0,1.0,37.0,76.0,8.0,24.0,27.0,35.0,5.0,28.0,33.0,27.0,17.0,16.0,5.0,20.0
2013-14,Atlanta Hawks,December,1355.6057508060346,45.0,2185.0,4623.0,24.0,21.0,1720.0,3723.0,418.0,1125.0,765.0,977.0,412.0,1424.0,1836.0,1154.0,693.0,402.0,198.0,849.0
2013-14,Atlanta Hawks,February,1388.7773951336796,73.0,3534.0,7371.0,32.0,41.0,2719.0,5984.0,690.0,1883.0,1243.0,1594.0,649.0,2271.0,2920.0,1807.0,1124.0,615.0,291.0,1399.0
2013-14,Atlanta Hawks,January,1362.0757338843796,57.0,2761.0,5788.0,26.0,31.0,2147.0,4675.0,540.0,1422.0,954.0,1225.0,514.0,1795.0,2309.0,1439.0,878.0,489.0,242.0,1078.0
2013-14,Atlanta Hawks,March,1367.2305750089306,82.0,3966.0,8282.0,38.0,44.0,3061.0,6688.0,768.0,2116.0,1392.0,1782.0,713.0,2565.0,3278.0,2041.0,1251.0,680.0,326.0,1577.0
2013-14,Atlanta Hawks,November,1311.8281874074112,32.0,1561.0,3304.0,18.0,14.0,1240.0,2672.0,300.0,799.0,524.0,690.0,291.0,1045.0,1336.0,822.0,485.0,272.0,143.0,614.0
2014-15,Atlanta Hawks,October,1525.8768652173378,15.0,730.0,1551.0,9.0,6.0,572.0,1210.0,131.0,359.0,276.0,350.0,136.0,461.0,597.0,373.0,222.0,125.0,77.0,292.0
2014-15,Atlanta Hawks,April,1516.740097918716,1.0,48.0,102.0,0.0,1.0,40.0,80.0,13.0,22.0,9.0,17.0,10.0,32.0,42.0,26.0,19.0,6.0,8.0,24.0
2014-15,Atlanta Hawks,December,1646.1578172726274,48.0,2314.0,4963.0,40.0,8.0,1828.0,3870.0,472.0,1217.0,835.0,1081.0,408.0,1565.0,1973.0,1252.0,685.0,424.0,222.0,869.0
2014-15,Atlanta Hawks,February,1638.631504084535,75.0,3610.0,7672.0,56.0,19.0,2836.0,6099.0,748.0,1948.0,1252.0,1607.0,652.0,2385.0,3037.0,1918.0,1079.0,669.0,349.0,1330.0
2014-15,Atlanta Hawks,January,1361.835168309166,59.0,2842.0,6054.0,47.0,12.0,2227.0,4780.0,588.0,1530.0,1012.0,1306.0,510.0,1911.0,2421.0,1509.0,848.0,522.0,274.0,1055.0
2014-15,Atlanta Hawks,March,1504.4818701626298,82.0,3946.0,8409.0,60.0,22.0,3121.0,6699.0,818.0,2152.0,1349.0,1735.0,715.0,2611.0,3326.0,2111.0,1167.0,744.0,380.0,1457.0
2014-15,Atlanta Hawks,November,1382.240981592818,31.0,1498.0,3167.0,23.0,8.0,1169.0,2499.0,288.0,774.0,541.0,699.0,260.0,1005.0,1265.0,793.0,455.0,267.0,152.0,580.0
2015-16,Atlanta Hawks,October,1505.7880114910258,20.0,960.0,2047.0,12.0,8.0,759.0,1660.0,189.0,534.0,340.0,422.0,179.0,654.0,833.0,510.0,300.0,186.0,106.0,358.0
2015-16,Atlanta Hawks,April,1470.770218330709,3.0,144.0,303.0,2.0,1.0,115.0,248.0,26.0,74.0,47.0,63.0,22.0,102.0,124.0,71.0,46.0,29.0,12.0,60.0
2015-16,Atlanta Hawks,December,1393.9353009394906,49.0,2357.0,4977.0,27.0,22.0,1869.0,4088.0,444.0,1309.0,795.0,1002.0,411.0,1576.0,1987.0,1230.0,736.0,465.0,267.0,936.0
2015-16,Atlanta Hawks,February,1441.19766107774,76.0,3673.0,7817.0,45.0,31.0,2941.0,6401.0,747.0,2137.0,1188.0,1515.0,632.0,2547.0,3179.0,1950.0,1124.0,691.0,442.0,1442.0
2015-16,Atlanta Hawks,January,1499.099391005716,60.0,2900.0,6134.0,33.0,27.0,2315.0,5054.0,566.0,1643.0,938.0,1192.0,512.0,1986.0,2498.0,1532.0,911.0,565.0,338.0,1143.0
