Year,Series,Team1  ,Team2                 ,Winner
211 ,2008  ,Playoff,Cleveland Cavaliers   ,Washington Wizards    ,Washington Wizards
212 ,2008  ,Playoff,Los Angeles Lakers    ,Denver Nuggets        ,Denver Nuggets
213 ,2008  ,Playoff,New Orleans Hornets   ,Dallas Mavericks      ,Dallas Mavericks
214 ,2008  ,Playoff,San Antonio Spurs     ,Phoenix Suns          ,Phoenix Suns
215 ,2008  ,Playoff,Utah Jazz             ,Houston Rockets       ,Houston Rockets
216 ,2008  ,Quarter,Boston Celtics        ,Cleveland Cavaliers   ,Cleveland Cavaliers
217 ,2008  ,Quarter,Detroit Pistons       ,Orlando Magic         ,Orlando Magic
218 ,2008  ,Quarter,Los Angeles Lakers    ,Utah Jazz             ,Utah Jazz
219 ,2008  ,Quarter,San Antonio Spurs     ,New Orleans Hornets   ,San Antonio Spurs
220 ,2008  ,Semi   ,Boston Celtics        ,Detroit Pistons       ,Detroit Pistons
221 ,2008  ,Semi   ,Los Angeles Lakers    ,San Antonio Spurs     ,San Antonio Spurs
222 ,2008  ,Final  ,Boston Celtics        ,Los Angeles Lakers    ,Boston Celtics
224 ,2007  ,Playoff,Chicago Bulls         ,Miami Heat            ,Chicago Bulls
225 ,2007  ,Playoff,Cleveland Cavaliers   ,Washington Wizards    ,Washington Wizards
226 ,2007  ,Playoff,Detroit Pistons       ,Orlando Magic         ,Orlando Magic
227 ,2007  ,Playoff,New Jersey Nets       ,Toronto Raptors       ,New Jersey Nets
228 ,2007  ,Playoff,Golden State Warriors ,Dallas Mavericks      ,Golden State Warriors
229 ,2007  ,Playoff,Phoenix Suns          ,Los Angeles Lakers    ,Los Angeles Lakers
230 ,2007  ,Playoff,San Antonio Spurs     ,Denver Nuggets        ,Denver Nuggets
231 ,2007  ,Playoff,Utah Jazz             ,Houston Rockets       ,Houston Rockets
232 ,2007  ,Quarter,Cleveland Cavaliers   ,New Jersey Nets       ,New Jersey Nets
233 ,2007  ,Quarter,Detroit Pistons       ,Chicago Bulls         ,Chicago Bulls
234 ,2007  ,Quarter,San Antonio Spurs     ,Phoenix Suns          ,San Antonio Spurs
235 ,2007  ,Quarter,Utah Jazz             ,Golden State Warriors ,Golden State Warriors
236 ,2007  ,Semi   ,Cleveland Cavaliers   ,Detroit Pistons       ,Cleveland Cavaliers
237 ,2007  ,Semi   ,San Antonio Spurs     ,Utah Jazz             ,Utah Jazz
238 ,2007  ,Final  ,San Antonio Spurs     ,Cleveland Cavaliers   ,San Antonio Spurs
240 ,2006  ,Playoff,Cleveland Cavaliers   ,Washington Wizards    ,Washington Wizards
241 ,2006  ,Playoff,Detroit Pistons       ,Milwaukee Bucks       ,Milwaukee Bucks
242 ,2006  ,Playoff,Miami Heat            ,Chicago Bulls         ,Chicago Bulls
243 ,2006  ,Playoff,New Jersey Nets       ,Indiana Pacers        ,Indiana Pacers
244 ,2006  ,Playoff,Dallas Mavericks      ,Memphis Grizzlies     ,Memphis Grizzlies
245 ,2006  ,Playoff,Los Angeles Clippers  ,Denver Nuggets        ,Los Angeles Clippers
246 ,2006  ,Playoff,Phoenix Suns          ,Los Angeles Lakers    ,Los Angeles Lakers
247 ,2006  ,Playoff,San Antonio Spurs     ,Sacramento Kings      ,Sacramento Kings
248 ,2006  ,Quarter,Detroit Pistons       ,Cleveland Cavaliers   ,Cleveland Cavaliers
249 ,2006  ,Quarter,Miami Heat            ,New Jersey Nets       ,New Jersey Nets
250 ,2006  ,Quarter,Dallas Mavericks      ,San Antonio Spurs     ,Dallas Mavericks
251 ,2006  ,Quarter,Phoenix Suns          ,Los Angeles Clippers  ,Los Angeles Clippers
252 ,2006  ,Semi   ,Miami Heat            ,Detroit Pistons       ,Miami Heat
253 ,2006  ,Semi   ,Dallas Mavericks      ,Phoenix Suns          ,Dallas Mavericks
254 ,2006  ,Final  ,Miami Heat            ,Dallas Mavericks      ,Dallas Mavericks
256 ,2005  ,Playoff,Detroit Pistons       ,Philadelphia 76ers    ,Philadelphia 76ers
257 ,2005  ,Playoff,Indiana Pacers        ,Boston Celtics        ,Indiana Pacers
258 ,2005  ,Playoff,Miami Heat            ,New Jersey Nets       ,New Jersey Nets
259 ,2005  ,Playoff,Washington Wizards    ,Chicago Bulls         ,Washington Wizards
260 ,2005  ,Playoff,Dallas Mavericks      ,Houston Rockets       ,Houston Rockets
261 ,2005  ,Playoff,Phoenix Suns          ,Memphis Grizzlies     ,Memphis Grizzlies
262 ,2005  ,Playoff,San Antonio Spurs     ,Denver Nuggets        ,Denver Nuggets
263 ,2005  ,Playoff,Seattle SuperSonics   ,Sacramento Kings      ,Sacramento Kings
264 ,2005  ,Quarter,Detroit Pistons       ,Indiana Pacers        ,Indiana Pacers
265 ,2005  ,Quarter,Miami Heat            ,Washington Wizards    ,Washington Wizards
266 ,2005  ,Quarter,Phoenix Suns          ,Dallas Mavericks      ,Dallas Mavericks
267 ,2005  ,Quarter,San Antonio Spurs     ,Seattle SuperSonics   ,Seattle SuperSonics
268 ,2005  ,Semi   ,Detroit Pistons       ,Miami Heat            ,Detroit Pistons
269 ,2005  ,Semi   ,San Antonio Spurs     ,Phoenix Suns          ,San Antonio Spurs
270 ,2005  ,Final  ,San Antonio Spurs     ,Detroit Pistons       ,San Antonio Spurs
272 ,2004  ,Playoff,Detroit Pistons       ,Milwaukee Bucks       ,Milwaukee Bucks
273 ,2004  ,Playoff,Indiana Pacers        ,Boston Celtics        ,Boston Celtics
274 ,2004  ,Playoff,Miami Heat            ,New Orleans Hornets   ,New Orleans Hornets
