TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
Atlanta Hawks,2539,5571,750.0,2210.0,1165,1473,600.0,2021.0,2621.0,1473,471.0,306.0,964.0,1383,6993,13.76,2019-20,0,0,0,0,0,,20,47,0.299,33  ,11-32,6-7  ,14-20,6-27 ,2-4 ,,,1610612737,1377.698088204189
Boston Celtics,2732,5927,862.0,2325.0,1240,1530,669.0,2269.0,2938.0,1540,516.0,336.0,851.0,1347,7566,16.05,2019-20,1,1,1,0,0,9.0,48,24,0.667,7.5 ,30-13,9-6  ,26-10,22-14,2-3 ,,,1610612738,1646.1491241065046
Brooklyn Nets,2578,5660,836.0,2362.0,1153,1544,668.0,2383.0,3051.0,1509,384.0,280.0,905.0,1291,7145,15.99,2019-20,1,0,0,0,0,7.0,35,37,0.486,20.5,23-23,6-10 ,20-16,15-21,3-5 ,,,1610612751,1494.5261073087938
Charlotte Hornets,2263,5233,746.0,2127.0,975,1298,638.0,1871.0,2509.0,1473,394.0,248.0,838.0,1103,6247,11.99,2019-20,0,0,0,0,0,,23,42,0.354,29  ,16-24,2-7  ,10-21,13-21,2-3 ,,,1610612766,1398.577332128461
Chicago Bulls,2289,5135,701.0,2023.0,921,1219,573.0,1827.0,2400.0,1373,563.0,232.0,875.0,1228,6200,12.78,2019-20,0,0,0,0,0,,22,43,0.338,30  ,15-28,7-9  ,14-20,8-23 ,1-2 ,,,1610612741,1330.7248028895945
Cleveland Cavaliers,2368,5207,683.0,1917.0,891,1142,611.0,1887.0,2498.0,1369,389.0,150.0,920.0,1017,6310,12.64,2019-20,0,0,0,0,0,,19,46,0.292,33  ,12-32,4-10 ,11-25,8-21 ,4-1 ,,,1610612739,1346.5307411581794
Dallas Mavericks,2779,6050,1043.0,2849.0,1292,1661,681.0,2397.0,3078.0,1646,408.0,323.0,799.0,1268,7893,16.62,2019-20,1,0,0,0,0,7.0,43,32,0.573,11  ,27-20,10-4 ,20-18,23-14,3-4 ,,,1610612742,1527.5019410118998
Denver Nuggets,2910,6101,752.0,2076.0,1121,1438,729.0,2266.0,2995.0,1847,552.0,313.0,879.0,1366,7693,15.7,2019-20,1,1,1,0,0,9.0,46,27,0.63,7   ,29-16,12-2 ,26-11,20-16,5-3 ,,,1610612743,1582.6393325021809
Detroit Pistons,2386,5126,707.0,1919.0,1008,1350,601.0,1963.0,2564.0,1345,445.0,282.0,849.0,1147,6487,13.57,2019-20,0,0,0,0,0,,20,46,0.303,32.5,12-31,5-10 ,11-22,9-24 ,1-4 ,,,1610612765,1290.4854247124974
Golden State Warriors,2197,4970,588.0,1733.0,1071,1328,549.0,1883.0,2432.0,1454,463.0,248.0,797.0,1087,6053,13.28,2019-20,0,0,0,0,0,,15,50,0.231,34  ,9-34 ,2-11 ,8-26 ,7-24 ,0-5 ,,,1610612744,1335.6041267435796
Houston Rockets,2640,5884,1016.0,2903.0,1383,1737,591.0,2165.0,2756.0,1418,547.0,309.0,925.0,1316,7679,15.07,2019-20,1,1,0,0,0,8.0,44,28,0.611,8.5 ,28-19,8-5  ,24-12,20-16,2-1 ,,,1610612745,1569.960828065722
Indiana Pacers,2819,5908,709.0,1898.0,1024,1278,540.0,2212.0,2752.0,1765,488.0,310.0,841.0,1233,7371,15.8,2019-20,1,0,0,0,0,4.0,45,28,0.616,11  ,28-19,8-7  ,25-11,20-17,3-1 ,,,1610612754,1541.245513426424
Los Angeles Clippers,2782,5937,818.0,2199.0,1421,1787,731.0,2466.0,3197.0,1502,467.0,316.0,902.0,1392,7803,15.8,2019-20,1,1,0,0,0,4.0,49,23,0.681,3.5 ,32-16,8-6  ,27-9 ,22-14,2-1 ,,,1610612746,1608.6340530695152
Los Angeles Lakers,2834,5847,699.0,1995.0,1224,1680,715.0,2355.0,3070.0,1724,571.0,451.0,994.0,1338,7591,15.84,2019-20,1,1,1,1,0,4.0,52,19,0.732,--  ,36-10,10-3 ,25-10,27-9 ,2-0 ,,,1610612747,1732.4779554245094
Memphis Grizzlies,2838,6020,709.0,2016.0,1103,1444,661.0,2350.0,3011.0,1821,501.0,347.0,957.0,1380,7488,16.25,2019-20,0,0,0,0,0,,34,39,0.466,19  ,20-26,4-9  ,20-17,14-22,1-1 ,,,1610612763,1470.822147984089
Miami Heat,2664,5649,920.0,2388.0,1353,1706,510.0,2339.0,2849.0,1731,492.0,264.0,901.0,1276,7601,16.0,2019-20,1,1,1,1,1,20.0,44,29,0.603,12  ,30-13,10-4 ,29-7 ,15-22,8-1 ,,,1610612748,1652.9722065002331
Milwaukee Bucks,3026,6329,967.0,2688.0,1300,1738,647.0,2898.0,3545.0,1792,501.0,408.0,1014.0,1321,8319,20.05,2019-20,1,1,0,0,0,2.0,56,17,0.767,--  ,37-7 ,13-1 ,30-5 ,26-12,1-2 ,,,1610612749,1588.454416328064
Minnesota Timberwolves,1983,4497,650.0,1930.0,977,1299,515.0,1619.0,2134.0,1226,454.0,285.0,742.0,1031,5593,12.56,2019-20,0,0,0,0,0,,19,45,0.297,29.5,9-30 ,2-10 ,8-24 ,11-21,4-3 ,,,1610612750,1318.6565844814895
