NAME,TEAM,SALARY,YEAR,POS
Derrick Favors,Utah Jazz,12950000,2015, C
Rajon Rondo,Dallas Mavericks,12909090,2015, PG
Joakim Noah,Chicago Bulls,12700000,2015, C
Tony Parker,San Antonio Spurs,12500000,2015, G
Serge Ibaka,Oklahoma City Thunder,12350000,2015, C
Andre Iguodala,Golden State Warriors,12289544,2015, F
Nikola Pekovic,Minnesota Timberwolves,12100000,2015, C
Kevin Garnett,Minnesota Timberwolves,12000000,2015, PF
Kyle Lowry,Toronto Raptors,12000000,2015, PG
David West,Indiana Pacers,12000000,2015, F
Al Horford,Atlanta Hawks,12000000,2015, C
Nicolas Batum,Portland Trail Blazers,11765500,2015, PF
Ty Lawson,Denver Nuggets,11595506,2015, G
Andrea Bargnani,New York Knicks,11500000,2015, C
DeAndre Jordan,Los Angeles Clippers,11440123,2015, C
Tyreke Evans,New Orleans Pelicans,11265416,2015, G
JaVale McGee,Philadelphia 76ers,11250000,2015, C
Larry Sanders,Milwaukee Bucks,11000000,2015, PF
Danilo Gallinari,Denver Nuggets,10854850,2015, PF
Stephen Curry,Golden State Warriors,10629213,2015, PG
Marcin Gortat,Washington Wizards,10434782,2015, C
Tim Duncan,San Antonio Spurs,10361446,2015, C
Gerald Wallace,Boston Celtics,10105855,2015, SF
DeMar DeRozan,Toronto Raptors,10100000,2015, SF
Jrue Holiday,New Orleans Pelicans,9904495,2015, PG
Luol Deng,Miami Heat,9714461,2015, F
Anderson Varejao,Cleveland Cavaliers,9704545,2015, C
Steve Nash,Los Angeles Lakers,9701000,2015, PG
Paul Millsap,Atlanta Hawks,9500000,2015, PF
Thaddeus Young,Brooklyn Nets,9410869,2015, PF
Tiago Splitter,San Antonio Spurs,9250000,2015, C
Jeff Green,Memphis Grizzlies,9200000,2015, PF
Jordan Hill,Los Angeles Lakers,9000000,2015, C
Lance Stephenson,Charlotte Hornets,9000000,2015, G
Mike Conley,Memphis Grizzlies,8694216,2015, PG
Trevor Ariza,Houston Rockets,8579089,2015, SF
Channing Frye,Orlando Magic,8579088,2015, F
Marcus Thornton,Phoenix Suns,8575000,2015, SG
Ryan Anderson,New Orleans Pelicans,8491500,2015, PF
Jeremy Lin,Los Angeles Lakers,8374646,2015, G
Omer Asik,New Orleans Pelicans,8374646,2015, C
Monta Ellis,Dallas Mavericks,8360000,2015, SG
Taj Gibson,Chicago Bulls,8000000,2015, C
Jeff Teague,Atlanta Hawks,8000000,2015, PG
Brandon Jennings,Detroit Pistons,8000000,2015, G
O.J. Mayo,Milwaukee Bucks,8000000,2015, SG
George Hill,Indiana Pacers,8000000,2015, PG
Dirk Nowitzki,Dallas Mavericks,7974482,2015, F
Ersan Ilyasova,Milwaukee Bucks,7900000,2015, PF
Tayshaun Prince,Detroit Pistons,7707865,2015, SF
Boris Diaw,San Antonio Spurs,7500000,2015, C
Goran Dragic,Miami Heat,7500000,2015, PG
Arron Afflalo,Portland Trail Blazers,7500000,2015, G
Wesley Matthews,Portland Trail Blazers,7245640,2015, SG
Isaiah Thomas,Boston Celtics,7238606,2015, G
Avery Bradley,Boston Celtics,7191011,2015, PG
Pau Gasol,Chicago Bulls,7128000,2015, PF
Jose Calderon,New York Knicks,7097191,2015, G
Kyrie Irving,Cleveland Cavaliers,7070730,2015, PG
Manu Ginobili,San Antonio Spurs,7000000,2015, G
Amir Johnson,Toronto Raptors,7000000,2015, F
Marvin Williams,Charlotte Hornets,7000000,2015, F
Brandon Bass,Boston Celtics,6900000,2015, PF
Kevin Martin,Minnesota Timberwolves,6792500,2015, SG
JJ Redick,Los Angeles Clippers,6792500,2015, SG
Wilson Chandler,Denver Nuggets,6757913,2015, F
Jason Richardson,Philadelphia 76ers,6601125,2015, SG
JR Smith,Cleveland Cavaliers,6515510,2015, G
Carl Landry,Sacramento Kings,6500000,2015, PF
Greivis Vasquez,Toronto Raptors,6400000,2015, PG
Derrick Williams,Sacramento Kings,6331404,2015, PF
Jarrett Jack,Brooklyn Nets,6300000,2015, G
Kyle Korver,Atlanta Hawks,6253521,2015, G
Landry Fields,Toronto Raptors,6250000,2015, SG
Robin Lopez,Portland Trail Blazers,6124729,2015, C
Jason Thompson,Sacramento Kings,6037500,2015, PF
Jodie Meeks,Detroit Pistons,6000000,2015, G
Gerald Henderson,Charlotte Hornets,6000000,2015, SG
Chuck Hayes,Toronto Raptors,5958750,2015, PF
Jason Terry,Houston Rockets,5850313,2015, G
Patrick Patterson,Toronto Raptors,5831326,2015, PF
P.J. Tucker,Phoenix Suns,5700000,2015, PF
Enes Freedom,Oklahoma City Thunder,5694674,2015, C
Anthony Davis,New Orleans Pelicans,5607240,2015, PF
Anthony Bennett,Minnesota Timberwolves,5563920,2015, F
Andrew Wiggins,Minnesota Timberwolves,5510640,2015, SF
Greg Monroe,Detroit Pistons,5479934,2015, C
Jamal Crawford,Los Angeles Clippers,5450000,2015, G
Courtney Lee,Memphis Grizzlies,5450000,2015, G
Lou Williams,Toronto Raptors,5450000,2015, SG
JJ Hickson,Denver Nuggets,5381750,2015, C
Martell Webster,Washington Wizards,5381750,2015, SF
Chris Andersen,Miami Heat,5375000,2015, PF
Nikola Mirotic,Chicago Bulls,5305000,2015, F
Spencer Hawes,Los Angeles Clippers,5305000,2015, PF
Paul Pierce,Washington Wizards,5305000,2015, SF
Shaun Livingston,Golden State Warriors,5305000,2015, G
Josh McRoberts,Miami Heat,5305000,2015, PF
Keith Bogans,Philadelphia 76ers,5285817,2015, SG
Zaza Pachulia,Milwaukee Bucks,5200000,2015, C
Tristan Thompson,Cleveland Cavaliers,5138430,2015, C
Michael Kidd-Gilchrist,Charlotte Hornets,5016960,2015, F
Chase Budinger,Minnesota Timberwolves,5000000,2015, SF
Trevor Booker,Utah Jazz,5000000,2015, F
Brandan Wright,Phoenix Suns,5000000,2015, F
Nick Young,Los Angeles Lakers,4994420,2015, G
Victor Oladipo,Orlando Magic,4978200,2015, SG
Jabari Parker,Milwaukee Bucks,4930560,2015, PF
Luis Scola,Indiana Pacers,4868499,2015, F
Tony Allen,Memphis Grizzlies,4831461,2015, SG
Chris Kaman,Portland Trail Blazers,4800000,2015, C
Darren Collison,Sacramento Kings,4797664,2015, PG
Kostas Papanikolaou,Houston Rockets,4797664,2015, SF
Corey Brewer,Houston Rockets,4702500,2015, F
Ricky Rubio,Minnesota Timberwolves,4660479,2015, PG
Andre Miller,Sacramento Kings,4650000,2015, PG
Timofey Mozgov,Cleveland Cavaliers,4650000,2015, C
Bradley Beal,Washington Wizards,4505280,2015, SG
Caron Butler,Detroit Pistons,4500000,2015, SF
Jonas Jerebko,Boston Celtics,4500000,2015, F
Ben Gordon,Orlando Magic,4500000,2015, SG
Otto Porter Jr.,Washington Wizards,4470480,2015, SF
Joel Embiid,Philadelphia 76ers,4427640,2015, C
Luc Mbah a Moute,Philadelphia 76ers,4382576,2015, F
Kris Humphries,Washington Wizards,4250000,2015, PF
Jared Dudley,Milwaukee Bucks,4250000,2015, SF
CJ Miles,Indiana Pacers,4205000,2015, G
Thabo Sefolosha,Atlanta Hawks,4150000,2015, F
Dion Waiters,Oklahoma City Thunder,4062000,2015, G
Samuel Dalembert,New York Knicks,4051527,2015, C
Cody Zeller,Charlotte Hornets,4030560,2015, C
Danny Green,San Antonio Spurs,4025000,2015, SF
Ian Mahinmi,Indiana Pacers,4000000,2015, C
Mario Chalmers,Miami Heat,4000000,2015, G
Aaron Gordon,Orlando Magic,3992040,2015, PF
Mo Williams,Charlotte Hornets,3965074,2015, PG
Vince Carter,Memphis Grizzlies,3911981,2015, G
Kevin Seraphin,Washington Wizards,3898692,2015, C
Devin Harris,Dallas Mavericks,3878896,2015, G
Bismack Biyombo,Charlotte Hornets,3873398,2015, C
Patty Mills,San Antonio Spurs,3842105,2015, PG
Joel Anthony,Detroit Pistons,3800000,2015, C
Raymond Felton,Dallas Mavericks,3793693,2015, G
Jonas Valanciunas,Toronto Raptors,3678360,2015, C
Thomas Robinson,Philadelphia 76ers,3678360,2015, F
Marreese Speights,Golden State Warriors,3657500,2015, F
Alex Len,Phoenix Suns,3649920,2015, C
Dante Exum,Utah Jazz,3615000,2015, PG
Brandon Knight,Phoenix Suns,3553917,2015, PG
Gerald Green,Phoenix Suns,3500000,2015, G
Darrell Arthur,Denver Nuggets,3457149,2015, F
Steve Novak,Oklahoma City Thunder,3445947,2015, SF
Matt Barnes,Los Angeles Clippers,3396250,2015, SF
Mirza Teletovic,Brooklyn Nets,3368100,2015, PF
Damian Lillard,Portland Trail Blazers,3340920,2015, PG
Mike Scott,Atlanta Hawks,3333333,2015, PF
Tyler Hansbrough,Toronto Raptors,3326235,2015, PF
Andrei Kirilenko,Brooklyn Nets,3326235,2015, SF
Mike Dunleavy,Chicago Bulls,3326235,2015, SG
Nerlens Noel,Philadelphia 76ers,3315120,2015, C
Marcus Smart,Boston Celtics,3283320,2015, PG
Alexey Shved,New York Knicks,3282056,2015, PG
Bojan Bogdanovic,Brooklyn Nets,3278000,2015, SF
Evan Turner,Boston Celtics,3278000,2015, G
Jason Smith,New York Knicks,3278000,2015, F
Kemba Walker,Charlotte Hornets,3272091,2015, PG
Carlos Boozer,Los Angeles Lakers,3251000,2015, PF
Carlos Delfino,Los Angeles Clippers,3250000,2015, SG
Gary Neal,Minnesota Timberwolves,3250000,2015, PG
Anthony Morrow,Oklahoma City Thunder,3200000,2015, SG
Dorell Wright,Portland Trail Blazers,3150000,2015, SF
Quincy Pondexter,New Orleans Pelicans,3146068,2015, F
Chris Copeland,Indiana Pacers,3135000,2015, SF
Klay Thompson,Golden State Warriors,3075880,2015, SG
Harrison Barnes,Golden State Warriors,3049920,2015, SF
Alec Burks,Utah Jazz,3034356,2015, SG
Ben McLemore,Sacramento Kings,3026280,2015, SG
Joel Freeland,Portland Trail Blazers,3013512,2015, C
Kosta Koufos,Memphis Grizzlies,3000000,2015, C
Travis Outlaw,Philadelphia 76ers,3000000,2015, SF
Randy Foye,Denver Nuggets,3000000,2015, SG
Jerryd Bayless,Milwaukee Bucks,3000000,2015, G
D.J. Augustin,Oklahoma City Thunder,3000000,2015, PG
Anthony Tolliver,Detroit Pistons,3000000,2015, PF
Julius Randle,Los Angeles Lakers,2997360,2015, PF
Markieff Morris,Phoenix Suns,2989239,2015, PF
Furkan Aldemir,Philadelphia 76ers,2963232,2015, PF
Marcus Morris Sr.,Phoenix Suns,2943221,2015, SF
Will Bynum,Washington Wizards,2915908,2015, PG
Kawhi Leonard,San Antonio Spurs,2894059,2015, SF
Marco Belinelli,San Antonio Spurs,2873750,2015, G
Terrence Ross,Toronto Raptors,2793960,2015, SG
Kentavious Caldwell-Pope,Detroit Pistons,2772480,2015, SG
Nikola Vucevic,Orlando Magic,2751260,2015, C
Luke Ridnour,Orlando Magic,2750000,2015, PG
Nik Stauskas,Sacramento Kings,2745840,2015, G
Brian Roberts,Charlotte Hornets,2732000,2015, PG
Udonis Haslem,Miami Heat,2732000,2015, PF
Jameer Nelson,Denver Nuggets,2732000,2015, G
Mike Miller,Cleveland Cavaliers,2732000,2015, SG
Kirk Hinrich,Chicago Bulls,2732000,2015, SG
Iman Shumpert,Cleveland Cavaliers,2616975,2015, G
Andre Drummond,Detroit Pistons,2568360,2015, C
Trey Burke,Utah Jazz,2548560,2015, PG
Noah Vonleh,Charlotte Hornets,2524200,2015, F
James Johnson,Toronto Raptors,2500000,2015, PF
DeMarre Carroll,Atlanta Hawks,2442455,2015, F
Austin Rivers,Los Angeles Clippers,2439840,2015, SG
Shelvin Mack,Atlanta Hawks,2433333,2015, G
CJ McCollum,Portland Trail Blazers,2421000,2015, SG
Elfrid Payton,Orlando Magic,2397840,2015, PG
Tobias Harris,Orlando Magic,2380594,2015, PF
Meyers Leonard,Portland Trail Blazers,2317920,2015, C
Michael Carter-Williams,Milwaukee Bucks,2300040,2015, PG
Doug McDermott,Chicago Bulls,2277960,2015, SF
Kenneth Faried,Denver Nuggets,2249768,2015, F
Nick Collison,Oklahoma City Thunder,2242003,2015, F
Brendan Haywood,Cleveland Cavaliers,2213668,2015, C
Reggie Jackson,Detroit Pistons,2204369,2015, PG
Jeremy Lamb,Oklahoma City Thunder,2202000,2015, SG
Steven Adams,Oklahoma City Thunder,2184960,2015, C
Vitor Faverani,Boston Celtics,2090000,2015, C
Aron Baynes,San Antonio Spurs,2077000,2015, C
Ramon Sessions,Washington Wizards,2077000,2015, G
Jordan Farmar,Los Angeles Clippers,2077000,2015, PG
C.J. Watson,Indiana Pacers,2077000,2015, PG
Danny Granger,Miami Heat,2077000,2015, SF
Beno Udrih,Memphis Grizzlies,2077000,2015, PG
Steve Blake,Portland Trail Blazers,2077000,2015, PG
Josh Smith,Houston Rockets,2077000,2015, PF
Kelly Olynyk,Boston Celtics,2075760,2015, PF
Zach LaVine,Minnesota Timberwolves,2055840,2015, SG
Norris Cole,New Orleans Pelicans,2038206,2015, F
Cory Joseph,San Antonio Spurs,2023261,2015, PG
Jimmy Butler,Chicago Bulls,2008748,2015, SF
DeJuan Blair,Washington Wizards,2000000,2015, C
John Salmons,New Orleans Pelicans,2000000,2015, SF
Elton Brand,Atlanta Hawks,2000000,2015, PF
Kent Bazemore,Atlanta Hawks,2000000,2015, SF
John Henson,Milwaukee Bucks,1987320,2015, F
Shabazz Muhammad,Minnesota Timberwolves,1971960,2015, F
T.J. Warren,Phoenix Suns,1953120,2015, SF
Maurice Harkless,Orlando Magic,1887840,2015, SF
Giannis Antetokounmpo,Milwaukee Bucks,1873200,2015, PF
Adreian Payne,Minnesota Timberwolves,1855320,2015, PF
Jeff Ayres,San Antonio Spurs,1828750,2015, F
Anthony Randolph,Madrid Real Madrid,1825359,2015, SF
Jeremy Evans,Utah Jazz,1794871,2015, F
Joffrey Lauvergne,Denver Nuggets,1790281,2015, F
Reggie Evans,Sacramento Kings,1768653,2015, C
Lucas Nogueira,Toronto Raptors,1762680,2015, C
Jusuf Nurkic,Denver Nuggets,1762680,2015, C
Luigi Datome,Boston Celtics,1750000,2015, SF
Zoran Dragic,Miami Heat,1706225,2015, SG
Tyler Zeller,Boston Celtics,1703760,2015, C
Dennis Schroder,Atlanta Hawks,1690680,2015, PG
James Young,Boston Celtics,1674480,2015, G
Pablo Prigioni,Houston Rockets,1662961,2015, PG
Ryan Kelly,Los Angeles Lakers,1650000,2015, PF
Terrence Jones,Houston Rockets,1618680,2015, PF
Shane Larkin,New York Knicks,1606080,2015, G
Tyler Ennis,Milwaukee Bucks,1590720,2015, G
Andrew Nicholson,Orlando Magic,1545840,2015, F
Sergey Karasev,Brooklyn Nets,1533840,2015, SG
Gary Harris,Denver Nuggets,1519200,2015, SG
Ronny Turiaf,Minnesota Timberwolves,1500000,2015, C
Miroslav Raduljica,Minnesota Timberwolves,1500000,2015, C
Donatas Motiejunas,Houston Rockets,1483920,2015, F
Evan Fournier,Orlando Magic,1483920,2015, SG
Tony Snell,Chicago Bulls,1472400,2015, SF
Bruno Caboclo,Toronto Raptors,1458360,2015, F
Scotty Hopson,Oklahoma City Thunder,1450878,2015, G
Willie Green,Orlando Magic,1448490,2015, SG
Lamar Odom,New York Knicks,1448490,2015, PF
Mike James,Chicago Bulls,1448490,2015, PG
Jared Sullinger,Boston Celtics,1424520,2015, C
Gorgui Dieng,Minnesota Timberwolves,1413480,2015, C
Mitch McGary,Oklahoma City Thunder,1400040,2015, PF
Victor Claver,Portland Trail Blazers,1370000,2015, PF
Mason Plumlee,Brooklyn Nets,1357080,2015, C
Jordan Adams,Memphis Grizzlies,1344120,2015, SG
Melvin Ely,Washington Wizards,1316809,2015, C
John Jenkins,Atlanta Hawks,1312920,2015, G
Josh Powell,Milwaukee Bucks,1310286,2015, PF
Ronnie Brewer,Chicago Bulls,1310286,2015, SF
Solomon Hill,Indiana Pacers,1302840,2015, SF
Rodney Hood,Utah Jazz,1290360,2015, SG
Alan Anderson,Brooklyn Nets,1276061,2015, SG
Tim Hardaway Jr.,New York Knicks,1250640,2015, SF
Hasheem Thabeet,Detroit Pistons,1250000,2015, C
Pero Antic,Atlanta Hawks,1250000,2015, PF
Shabazz Napier,Miami Heat,1238640,2015, G
Shawne Williams,Detroit Pistons,1227985,2015, SF
Aaron Gray,Detroit Pistons,1227985,2015, C
Shavlik Randolph,Boston Celtics,1227985,2015, PF
Tony Wroten,Philadelphia 76ers,1210080,2015, SG
Reggie Bullock,Phoenix Suns,1200720,2015, SF
Clint Capela,Houston Rockets,1189200,2015, C
Miles Plumlee,Milwaukee Bucks,1169880,2015, C
Andre Roberson,Oklahoma City Thunder,1160880,2015, F
P.J. Hairston,Charlotte Hornets,1149720,2015, SF
Brandon Rush,Golden State Warriors,1145685,2015, F
Hilton Armstrong,Golden State Warriors,1145685,2015, PF
Cartier Martin,Detroit Pistons,1145685,2015, PF
Arnett Moultrie,New York Knicks,1136160,2015, PF
Perry Jones,Oklahoma City Thunder,1129200,2015, SF
Rudy Gobert,Utah Jazz,1127400,2015, C
Marquis Teague,Memphis Grizzlies,1120920,2015, G
Festus Ezeli,Golden State Warriors,1112880,2015, C
Archie Goodwin,Phoenix Suns,1112280,2015, SG
CJ Wilcox,Los Angeles Clippers,1109760,2015, G
Nemanja Nedovic,Golden State Warriors,1104240,2015, PG
Damjan Rudez,Indiana Pacers,1100000,2015, SF
Kyle Anderson,San Antonio Spurs,1093680,2015, SF
Kyle Singler,Oklahoma City Thunder,1090000,2015, F
Xavier Henry,Los Angeles Lakers,1082000,2015, SG
Robert Covington,Philadelphia 76ers,1000000,2015, PF
Luke Babbitt,New Orleans Pelicans,981084,2015, F
Ed Davis,Los Angeles Lakers,981084,2015, C
Garrett Temple,Washington Wizards,981084,2015, SF
Alexis Ajinca,New Orleans Pelicans,981084,2015, C
Al-Farouq Aminu,Dallas Mavericks,981084,2015, SF
Jon Leuer,Memphis Grizzlies,967500,2015, F
Josh Harrellson,Washington Wizards,948163,2015, C
E'Twaun Moore,Chicago Bulls,948163,2015, G
Greg Smith,Dallas Mavericks,948163,2015, PF
Jeremy Tyler,Houston Rockets,948163,2015, C
Donald Sloan,Indiana Pacers,948163,2015, G
Joey Dorsey,Houston Rockets,948163,2015, PF
Jeffery Taylor,Charlotte Hornets,915243,2015, SF
Jason Maxiell,Charlotte Hornets,915243,2015, PF
Jannero Pargo,Charlotte Hornets,915243,2015, PG
Omri Casspi,Sacramento Kings,915243,2015, F
Ryan Hollins,Sacramento Kings,915243,2015, C
Lavoy Allen,Indiana Pacers,915243,2015, F
Wesley Johnson,Los Angeles Lakers,915243,2015, F
Drew Gooden,Washington Wizards,915243,2015, PF
Henry Sims,Philadelphia 76ers,915243,2015, C
Ekpe Udoh,Los Angeles Clippers,915243,2015, F
Darius Miller,New Orleans Pelicans,915243,2015, SF
Chris Wright,Oklahoma City Thunder,915243,2015, SF
Sebastian Telfair,Oklahoma City Thunder,915243,2015, PG
Nazr Mohammed,Chicago Bulls,915243,2015, C
Matt Bonner,San Antonio Spurs,915243,2015, C
Diante Garrett,Portland Trail Blazers,915243,2015, PG
Greg Stiemsma,Toronto Raptors,915243,2015, C
Jae Crowder,Boston Celtics,915243,2015, PF
Quincy Acy,New York Knicks,915243,2015, F
Jimmer Fredette,New Orleans Pelicans,915243,2015, G
Ronnie Price,Los Angeles Lakers,915243,2015, PG
Leandro Barbosa,Golden State Warriors,915243,2015, G
Kyle O'Quinn,Orlando Magic,915243,2015, C
Jarvis Varnado,Philadelphia 76ers,915243,2015, PF
Patrick Beverley,Houston Rockets,915243,2015, PG
Kyrylo Fesenko,Minnesota Timberwolves,915243,2015, C
Aaron Brooks,Chicago Bulls,915243,2015, G
Rasual Butler,Washington Wizards,915243,2015, SF
Khris Middleton,Milwaukee Bucks,915243,2015, SF
Kendall Marshall,Milwaukee Bucks,915243,2015, PG
Shannon Brown,Miami Heat,915243,2015, PG
Wayne Ellington,Los Angeles Lakers,915243,2015, SG
Glen Davis,Los Angeles Clippers,915243,2015, PF
Hedo Turkoglu,Los Angeles Clippers,915243,2015, SF
Rodney Stuckey,Indiana Pacers,915243,2015, PG
Francisco Garcia,Houston Rockets,915243,2015, SG
Draymond Green,Golden State Warriors,915243,2015, PF
Jared Cunningham,Los Angeles Clippers,915243,2015, G
Will Barton,Denver Nuggets,915243,2015, SF
Alonzo Gee,Portland Trail Blazers,915243,2015, SF
Richard Jefferson,Dallas Mavericks,915243,2015, F
Doron Lamb,Dallas Mavericks,915243,2015, SG
Ivan Johnson,Dallas Mavericks,915243,2015, PF
Charlie Villanueva,Dallas Mavericks,915243,2015, PF
Rashard Lewis,Dallas Mavericks,915243,2015, PF
James Jones,Cleveland Cavaliers,915243,2015, SG
Shawn Marion,Cleveland Cavaliers,915243,2015, SG
Robert Sacre,Los Angeles Lakers,915243,2015, C
Chris Douglas-Roberts,Los Angeles Clippers,915243,2015, SG
Cole Aldrich,New York Knicks,915243,2015, C
J.J. Barea,Dallas Mavericks,909859,2015, G
Joe Harris,Cleveland Cavaliers,884879,2015, SF
Devyn Marble,Orlando Magic,884879,2015, G
Jerami Grant,Philadelphia 76ers,884879,2015, SF
Robbie Hummel,Minnesota Timberwolves,880000,2015, SF
Allen Crabbe,Portland Trail Blazers,862000,2015, G
Ish Smith,Philadelphia 76ers,861405,2015, PG
Damien Inglis,New York Knicks,820000,2015, SF
Isaiah Canaan,Philadelphia 76ers,816842,2015, G
Ray McCallum,Sacramento Kings,816482,2015, PG
Nick Calathes,Memphis Grizzlies,816482,2015, SG
Justin Hamilton,Minnesota Timberwolves,816482,2015, C
Carrick Felix,Washington Wizards,816482,2015, SG
Glen Rice Jr.,Washington Wizards,816482,2015, SG
Casper Ware,Melbourne Melbourne United,816482,2015, G
Nate Wolters,New Orleans Pelicans,816482,2015, PG
Mike Muscala,Atlanta Hawks,816482,2015, C
Justin Holiday,Golden State Warriors,816482,2015, SF
Hollis Thompson,Philadelphia 76ers,816482,2015, F
Grant Jerrett,Utah Jazz,816482,2015, PF
James Southerland,Portland Trail Blazers,816482,2015, SF
Peyton Siva,Orlando Magic,816482,2015, PG
Brandon Davies,Brooklyn Nets,816482,2015, PF
Dewayne Dedmon,Orlando Magic,816482,2015, C
Tony Mitchell,Maccabi Haifa Maccabi Haifa,816482,2015, PF
Phil Pressey,Boston Celtics,816482,2015, PG
Chris Babb,Golden State Warriors,816482,2015, SG
Ognjen Kuzmic,Golden State Warriors,816482,2015, C
Dwight Buycks,Los Angeles Lakers,816482,2015, G
Jamaal Franklin,Denver Nuggets,816482,2015, SG
Troy Daniels,Charlotte Hornets,816482,2015, G
Jeff Withey,New Orleans Pelicans,816482,2015, C
Matthew Dellavedova,Cleveland Cavaliers,816482,2015, PG
Dionte Christmas,Philadelphia 76ers,816482,2015, SG
Ian Clark,Denver Nuggets,816482,2015, G
Jerome Jordan,Brooklyn Nets,816482,2015, C
Erik Jay Murphy,Boston Celtics,816482,2015, PF
Hassan Whiteside,Miami Heat,769881,2015, C
Jeff Adrien,Minnesota Timberwolves,742962,2015, SF
Jarnell Stokes,Memphis Grizzlies,725000,2015, C
Dante Cunningham,New Orleans Pelicans,716043,2015, F
Malcolm Lee,Philadelphia 76ers,710659,2015, SG
Darius Morris,Brooklyn Nets,702756,2015, G
Spencer Dinwiddie,Detroit Pistons,700000,2015, PG
Malcolm Thomas,Philadelphia 76ers,635827,2015, PF
Gal Mekel,New Orleans Pelicans,633974,2015, PG
Johnny O'Bryant III,Milwaukee Bucks,600000,2015, F
Russ Smith,Memphis Grizzlies,507336,2015, PG
Khem Birch,Toronto Raptors,507336,2015, C
Brady Heslip,Toronto Raptors,507336,2015, SG
Eric Griffin,Adelaide Adelaide 36ers,507336,2015, F
Jordan Clarkson,Los Angeles Lakers,507336,2015, PG
Erick Green,Denver Nuggets,507336,2015, PG
KJ McDaniels,Houston Rockets,507336,2015, F
Eric Moreland,Sacramento Kings,507336,2015, C
Markel Brown,Brooklyn Nets,507336,2015, G
Nick Johnson,Houston Rockets,507336,2015, G
Glenn Robinson III,Philadelphia 76ers,507336,2015, F
Sim Bhullar,Sacramento Kings,507336,2015, C
Joe Ingles,Utah Jazz,507336,2015, SG
Cory Jefferson,Brooklyn Nets,507336,2015, F
Keith Appling,Orlando Magic,507336,2015, PG
Cleanthony Early,New York Knicks,507336,2015, SF
Alex Kirk,Cleveland Cavaliers,507336,2015, C
Travis Wear,New York Knicks,507336,2015, F
JaKarr Sampson,Philadelphia 76ers,507336,2015, SF
Shayne Whittington,Indiana Pacers,507336,2015, PF
Cameron Bairstow,Chicago Bulls,507336,2015, PF
James Ennis III,Miami Heat,507336,2015, F
Tarik Black,Los Angeles Lakers,507336,2015, F
Pierre Jackson,Dallas Mavericks,507336,2015, PG
Dwight Powell,Dallas Mavericks,507336,2015, C
Patric Young,New Orleans Pelicans,507336,2015, PF
Will Cherry,Cleveland Cavaliers,495399,2015, F
Kalin Lucas,Memphis Grizzlies,486446,2015, G
Drew Gordon,Philadelphia 76ers,468540,2015, C
Kenyon Martin,Milwaukee Bucks,414551,2015, PF
Lou Amundson,New York Knicks,409167,2015, PF
Lance Thomas,New York Knicks,403784,2015, F
Dahntay Jones,Los Angeles Clippers,387632,2015, SG
Patrick Christopher,Utah Jazz,379010,2015, SG
Ronald Roberts Jr.,Toronto Raptors,373041,2015, PF
Reggie Williams,San Antonio Spurs,344036,2015, SF
Amar'e Stoudemire,Dallas Mavericks,306876,2015, C
Lorenzo Brown,Minnesota Timberwolves,283367,2015, G
Kendrick Perkins,Cleveland Cavaliers,274573,2015, C
John Lucas III,Detroit Pistons,269189,2015, PG
Elijah Millsap,Utah Jazz,241731,2015, F
Bernard James,Dallas Mavericks,236886,2015, C
Langston Galloway,New York Knicks,235762,2015, SG
Tyler Johnson,Miami Heat,199950,2015, G
Henry Walker,Miami Heat,196217,2015, SF
Michael Beasley,Miami Heat,195440,2015, F
Quincy Miller,Detroit Pistons,183049,2015, F
Earl Barron,Phoenix Suns,183049,2015, C
James Michael McAdoo,Golden State Warriors,167122,2015, SF
Jordan Hamilton,Los Angeles Clippers,150591,2015, SG
JaMychal Green,Memphis Grizzlies,134295,2015, PF
Toney Douglas,New Orleans Pelicans,107676,2015, PG
Chris Johnson,Milwaukee Bucks,107676,2015, SG
Elliot Williams,New Orleans Pelicans,107676,2015, SG
Nate Robinson,Los Angeles Clippers,107676,2015, PG
Toure' Murry,Washington Wizards,96056,2015, SF
Jorge Gutierrez,Milwaukee Bucks,96056,2015, G
Bryce Cotton,Utah Jazz,92514,2015, G
Jack Cooley,Utah Jazz,59686,2015, F
Tim Frazier,Portland Trail Blazers,59686,2015, PG
Jabari Brown,Los Angeles Lakers,59686,2015, SG
Tyrus Thomas,Memphis Grizzlies,53838,2015, PF
A.J. Price,Phoenix Suns,53838,2015, PG
Austin Daye,Atlanta Hawks,53838,2015, SF
Ricky Ledo,New York Knicks,48028,2015, SG
Seth Curry,Phoenix Suns,48028,2015, SG
Andre Dawkins,Miami Heat,29843,2015, SG
David Stockton,Sacramento Kings,29483,2015, G
Kobe Bryant,Los Angeles Lakers,25000000,2016, SF
LeBron James,Cleveland Cavaliers,22970500,2016, SF
Carmelo Anthony,New York Knicks,22875000,2016, PF
Dwight Howard,Houston Rockets,22359364,2016, C
Chris Bosh,Miami Heat,22192730,2016, PF
Chris Paul,Los Angeles Clippers,21468695,2016, PG
Kevin Durant,Oklahoma City Thunder,20158622,2016, PF
Derrick Rose,Chicago Bulls,20093064,2016, PG
Dwyane Wade,Miami Heat,20000000,2016, G
LaMarcus Aldridge,San Antonio Spurs,19689000,2016, C
Brook Lopez,Brooklyn Nets,19689000,2016, C
DeAndre Jordan,Los Angeles Clippers,19689000,2016, C
Kevin Love,Cleveland Cavaliers,19689000,2016, PF
Marc Gasol,Memphis Grizzlies,19688000,2016, C
