FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Ersan,Ilyasova,101141,2016-17,1610612737,ATL,30,26,12.0,633,93,226,0.412,32.0,92.0,0.348,52,65,0.8,42.0,109.0,151.0,43,22.0,8.0,34.0,73,270,Atlanta Hawks,26.12,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3239498312565322,8288577.343970669,8303179.883760957,1.0017617667283891,0.32452055529090723,14.34
Joe,Ingles,204060,2016-17,1610612762,UTA,29,82,26.0,1972,204,451,0.452,123.0,279.0,0.441,50,68,0.735,23.0,238.0,261.0,225,96.0,8.0,107.0,163,581,Utah Jazz,24.05,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2660917599119125,8220776.690668233,8303179.883760957,1.0100237722289993,0.26875900310528306,11.88
Brandon,Ingram,1627742,2016-17,1610612747,LAL,19,79,40.0,2279,276,686,0.402,55.0,187.0,0.294,133,214,0.621,60.0,256.0,316.0,166,50.0,36.0,116.0,158,740,Los Angeles Lakers,28.85,0.044195362537046826,1.072746188731722,0.7681900774213936,0.20942886406326922,8506977.553876488,8303179.883760957,0.9760434691610697,0.20441167502277535,9.03
Kyrie,Irving,202681,2016-17,1610612739,CLE,25,72,72.0,2525,671,1420,0.473,177.0,441.0,0.401,297,328,0.905,52.0,178.0,230.0,418,83.0,24.0,180.0,157,1816,Cleveland Cavaliers,35.07,0.044195362537046826,1.072746188731722,0.7681900774213936,0.5412959145090076,8538392.959517783,8303179.883760957,0.9724523014023813,0.526384457803991,23.26
Reggie,Jackson,202704,2016-17,1610612765,DET,27,52,50.0,1424,284,677,0.419,66.0,184.0,0.359,118,136,0.868,21.0,93.0,114.0,270,35.0,5.0,114.0,129,752,Detroit Pistons,27.38,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3488386515974111,8243171.08005292,8303179.883760957,1.0072798202445716,0.35137813427539905,15.53
LeBron,James,2544,2016-17,1610612739,CLE,32,74,74.0,2795,736,1344,0.548,124.0,342.0,0.363,358,531,0.674,97.0,542.0,639.0,646,92.0,44.0,303.0,134,1954,Cleveland Cavaliers,37.77,0.044195362537046826,1.072746188731722,0.7681900774213936,0.6216231826349888,8538392.959517783,8303179.883760957,0.9724523014023813,0.6044988945584676,26.71
Al,Jefferson,2744,2016-17,1610612754,IND,32,66,1.0,931,235,471,0.499,0.0,1.0,0.0,65,85,0.765,75.0,203.0,278.0,57,19.0,16.0,33.0,125,535,Indiana Pacers,14.11,0.044195362537046826,1.072746188731722,0.7681900774213936,0.45501929513376294,8237832.830640234,8303179.883760957,1.0079325539209376,0.45862876022747856,20.27
Richard,Jefferson,2210,2016-17,1610612739,CLE,37,79,13.0,1614,153,343,0.446,62.0,186.0,0.333,80,108,0.741,28.0,175.0,203.0,78,26.0,10.0,52.0,153,448,Cleveland Cavaliers,20.43,0.044195362537046826,1.072746188731722,0.7681900774213936,0.19362983098765338,8538392.959517783,8303179.883760957,0.9724523014023813,0.18829577476409765,8.32
Brandon,Jennings,201943,2016-17,1610612752,NYK,27,58,11.0,1428,163,429,0.38,68.0,200.0,0.34,102,135,0.756,21.0,131.0,152.0,287,55.0,4.0,106.0,84,496,New York Knicks,22.25,0.044195362537046826,1.072746188731722,0.7681900774213936,0.28688979737813425,8352906.512862307,8303179.883760957,0.9940467873039429,0.2851818813940135,12.6
Jonas,Jerebko,201973,2016-17,1610612738,BOS,30,78,6.0,1232,114,262,0.435,45.0,130.0,0.346,26,37,0.703,59.0,213.0,272.0,71,25.0,17.0,39.0,122,299,Boston Celtics,15.79,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2194079315269439,8223179.472674368,8303179.883760957,1.009728647094768,0.22154247386256257,9.79
Amir,Johnson,101161,2016-17,1610612738,BOS,30,80,77.0,1608,213,370,0.576,27.0,66.0,0.409,67,100,0.67,118.0,248.0,366.0,140,51.0,62.0,77.0,211,520,Boston Celtics,20.1,0.044195362537046826,1.072746188731722,0.7681900774213936,0.35009557452878665,8223179.472674368,8303179.883760957,1.009728647094768,0.35350153082281727,15.62
James,Johnson,201949,2016-17,1610612748,MIA,30,76,5.0,2085,368,769,0.479,87.0,256.0,0.34,152,215,0.707,66.0,310.0,376.0,276,76.0,86.0,171.0,197,975,Miami Heat,27.43,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3883372327940186,8560977.619270647,8303179.883760957,0.9698868812681637,0.37664318759489956,16.64
Joe,Johnson,2207,2016-17,1610612762,UTA,36,78,14.0,1843,273,626,0.436,106.0,258.0,0.411,63,77,0.818,33.0,210.0,243.0,144,36.0,18.0,69.0,93,715,Utah Jazz,23.63,0.044195362537046826,1.072746188731722,0.7681900774213936,0.2861092337566123,8220776.690668233,8303179.883760957,1.0100237722289993,0.2889771275484021,12.77
Stanley,Johnson,1626169,2016-17,1610612765,DET,21,77,1.0,1371,129,365,0.353,45.0,154.0,0.292,36,53,0.679,36.0,153.0,189.0,105,56.0,24.0,71.0,121,339,Detroit Pistons,17.81,0.044195362537046826,1.072746188731722,0.7681900774213936,0.167065449009644,8243171.08005292,8303179.883760957,1.0072798202445716,0.16828165544751286,7.44
Tyler,Johnson,204020,2016-17,1610612748,MIA,25,73,0.0,2177,357,824,0.433,93.0,250.0,0.372,195,254,0.768,50.0,243.0,293.0,233,84.0,44.0,90.0,176,1002,Miami Heat,29.82,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3629994074772264,8560977.619270647,8303179.883760957,0.9698868812681637,0.35206836322027846,15.56
Wesley,Johnson,202325,2016-17,1610612746,LAC,29,68,3.0,810,73,200,0.365,29.0,118.0,0.246,11,17,0.647,26.0,155.0,181.0,23,29.0,30.0,18.0,83,186,Los Angeles Clippers,11.91,0.044195362537046826,1.072746188731722,0.7681900774213936,0.19492902824051897,7948861.064570753,8303179.883760957,1.0445747908174488,0.20361794889858867,9.0
