TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,TEAM_ID,ELO
Utah Jazz,2833,6013,1148.0,2926.0,1184,1486,717.0,2575.0,3292.0,1605,438.0,356.0,910.0,1225,7998,17.16,2020-21,1,1,0,0,0,2.0,52,20,0.722,--  ,28-14,7-5  ,31-5 ,21-15,0-3 ,1610612762,1514.4226849146744
Washington Wizards,2717,5732,651.0,1827.0,1279,1653,555.0,2134.0,2689.0,1667,435.0,208.0,859.0,1229,7364,14.76,2020-21,1,0,0,0,0,8.0,34,38,0.472,15  ,16-26,3-9  ,19-17,15-21,4-1 ,1610612764,1405.977592236801
Atlanta Hawks,2539,5571,750.0,2210.0,1165,1473,600.0,2021.0,2621.0,1473,471.0,306.0,964.0,1383,6993,13.76,2019-20,0,0,0,0,0,,20,47,0.299,33  ,11-32,6-7  ,14-20,6-27 ,2-4 ,1610612737,1277.583579487665
Boston Celtics,2732,5927,862.0,2325.0,1240,1530,669.0,2269.0,2938.0,1540,516.0,336.0,851.0,1347,7566,16.05,2019-20,1,1,1,0,0,9.0,48,24,0.667,7.5 ,30-13,9-6  ,26-10,22-14,2-3 ,1610612738,1546.1751772872612
Brooklyn Nets,2578,5660,836.0,2362.0,1153,1544,668.0,2383.0,3051.0,1509,384.0,280.0,905.0,1291,7145,15.99,2019-20,1,0,0,0,0,7.0,35,37,0.486,20.5,23-23,6-10 ,20-16,15-21,3-5 ,1610612751,1394.5224611556448
Charlotte Hornets,2263,5233,746.0,2127.0,975,1298,638.0,1871.0,2509.0,1473,394.0,248.0,838.0,1103,6247,11.99,2019-20,0,0,0,0,0,,23,42,0.354,29  ,16-24,2-7  ,10-21,13-21,2-3 ,1610612766,1298.5025979332995
Chicago Bulls,2289,5135,701.0,2023.0,921,1219,573.0,1827.0,2400.0,1373,563.0,232.0,875.0,1228,6200,12.78,2019-20,0,0,0,0,0,,22,43,0.338,30  ,15-28,7-9  ,14-20,8-23 ,1-2 ,1610612741,1230.7166480606354
Cleveland Cavaliers,2368,5207,683.0,1917.0,891,1142,611.0,1887.0,2498.0,1369,389.0,150.0,920.0,1017,6310,12.64,2019-20,0,0,0,0,0,,19,46,0.292,33  ,12-32,4-10 ,11-25,8-21 ,4-1 ,1610612739,1246.4463718840202
Dallas Mavericks,2779,6050,1043.0,2849.0,1292,1661,681.0,2397.0,3078.0,1646,408.0,323.0,799.0,1268,7893,16.62,2019-20,1,0,0,0,0,7.0,43,32,0.573,11  ,27-20,10-4 ,20-18,23-14,3-4 ,1610612742,1427.5651212964617
Denver Nuggets,2910,6101,752.0,2076.0,1121,1438,729.0,2266.0,2995.0,1847,552.0,313.0,879.0,1366,7693,15.7,2019-20,1,1,1,0,0,9.0,46,27,0.63,7   ,29-16,12-2 ,26-11,20-16,5-3 ,1610612743,1482.710609705235
