iter	Passed	Remaining
958	6815	291
959	6821	284
960	6829	277
961	6836	270
962	6843	262
963	6849	255
964	6857	248
965	6864	241
966	6870	234
967	6878	227
968	6885	220
969	6892	213
970	6899	206
971	6907	198
972	6913	191
973	6920	184
974	6927	177
975	6934	170
976	6941	163
977	6949	156
978	6956	149
979	6962	142
980	6970	134
981	6977	127
982	6984	120
983	6991	113
984	6998	106
985	7005	99
986	7012	92
987	7019	85
988	7026	78
989	7033	71
990	7040	63
991	7047	56
992	7055	49
993	7061	42
994	7069	35
995	7076	28
996	7083	21
997	7090	14
998	7097	7
999	7104	0
